	Translation Efficiency	Luciferase Activity	Splicing Efficiency	CircRNA Amount
DAZL	1	0.9	0.75	0.91
DDX17	1.82	1.01	0.77	0.58
DDX21	2.57	2.26	1.05	0.9
DDX23	0.69	2.41	2.45	3.6
DDX24	1.71	1.49	0.78	0.87
DDX27	2.42	1.66	0.72	0.69
DDX3X	2.09	1.21	0.75	0.6
DDX46	1.48	1.56	0.79	1.05
DDX5	1.64	2.75	1.16	1.71
DDX50	1.83	1.8	1.08	1
DDX6	0.25	0.31	1.14	1.34
DHX29	1.94	1.25	0.89	0.66
DKC1	1.69	0.95	0.7	0.58
EEF1G	1.73	0.91	0.72	0.54
EEF2	1.97	0.85	0.52	0.42
EFTUD2	1.59	0.9	0.69	0.57
EIF1	1.74	1.3	0.75	0.78
EIF1A	1.01	1.11	0.98	1.14
EIF3D	2.5	2.13	0.87	0.89
EIF4A1	2.22	1.36	0.71	0.62
EIF4A2	1.95	1.25	0.82	0.65
EIF4A3	1.53	1.25	0.89	0.82
EIF4B	1.61	0.91	0.81	0.57
EIF4E	2.13	1.44	0.64	0.68
EIF4G1	2.42	1.99	0.69	0.82
EIF4G2	1.82	1.11	0.64	0.61
EIF4H	0.89	0.9	1.02	1.01
EIF5	1.03	0.83	0.99	0.84
EIF5B	2.63	1.14	0.58	0.43
EIF6	2.23	1.25	0.73	0.57
ETF1	1.33	1.04	0.77	0.8
FUS	2.32	0.68	0.34	0.3
FXR1	1.33	1.7	1.18	1.31
GNL2	1.63	2.11	1.03	1.32
GNL3	1.68	1.27	0.73	0.76
GNL3L	1.21	1.39	0.87	1.14
GTPBP4	1.69	1.7	0.94	1
HNRNPA3	0.71	0.95	1.01	1.34
HNRNPC	0.56	0.77	0.69	1.51
HNRNPD	0.54	0.61	0.83	1.13
HNRNPF	0.59	0.37	0.62	0.64
HNRNPH1	1.08	0.46	0.47	0.43
HNRNPK	1.88	0.53	0.35	0.28
HNRNPM	2.08	1.24	0.6	0.59
HNRNPU	0.87	0.57	0.69	0.66
HNRNPUL1	5.25	3.59	0.6	0.71
IGF2BP1	1.19	1.37	1.05	1.17
IGF2BP3	1.34	1.52	1.04	1.13
ILF3	0.7	0.27	0.34	0.4
LARP1	1.22	3.06	1.41	2.55
LARP4	1.67	1.63	0.73	0.97
LARP4B	1.42	1.72	0.85	1.29
LARP7	3.54	1.86	0.66	0.58
LIN28A	1.09	1.37	1.14	1.27
NAT10	1.73	1.66	0.66	0.96
NCL	2.01	1.15	0.55	0.57
NMD3	2.88	1.85	0.65	0.65
nonePUF	1.01	1.01	0.97	1.01
PA2G4	2.17	1.08	0.5	0.48
PABPC1	0.6	1.97	1.82	3.24
PABPC4	0.42	1.81	2.25	4.44
PCBP1	1.07	0.71	0.52	0.66
PCBP2	1	0.62	0.6	0.61
PES1	2.24	1.29	0.66	0.58
PRPF31	1.05	0.46	0.5	0.44
PTBP1	1.46	0.46	0.24	0.31
PUF60	1.1	1.88	0.84	1.69
RACK1	1.57	0.97	0.6	0.61
RBM10	3.94	1.25	0.26	0.35
RBM17	1.68	0.62	0.47	0.38
RBM28	2.08	2.3	1.03	1.14
RBM34	2.34	1.86	0.82	0.89
RBM4	0.53	0.07	0.1	0.14
RBM5	2.45	0.27	0.1	0.12
RPL11	1.83	1.81	0.54	1.01
RPL13A	2.24	0.82	0.45	0.38
RPL18	2.36	1.44	0.7	0.62
RPL22	0.66	0.78	1.05	1.2
RPL26	1.71	1.3	0.86	0.77
RPL38	1.36	1.43	0.74	1.06
RPL5	1.52	1.88	1	1.24
RPS15	1.54	1.62	0.73	1.06
RPS19	0.99	1.4	0.89	1.42
RPS2	1.64	1.03	0.71	0.63
RPS20	1.16	1.73	1.36	1.49
RPS27	1.12	1.06	0.79	0.95
RPS6	1.92	1.32	0.61	0.69
RPSA	1.88	0.96	0.51	0.51
RQCD1	0.67	2.17	1.13	3.23
SF3B2	1.94	0.89	0.61	0.46
SF3B3	2.74	0.75	0.42	0.28
SKIV2L2	2.42	1.14	0.52	0.47
SNRNP40	2.91	0.88	0.34	0.32
SNRNP70	0.27	4.79	3.35	20.39
SNRPE	1	1.13	1.24	1.14
SRRM1	4.37	2.52	0.93	0.59
SRSF1	1.31	6.61	1.07	5.06
SRSF11	1.98	1.32	0.84	0.68
SRSF3	1.27	6.18	1.08	4.85
SRSF5	0.53	6.13	3.17	11.78
SSB	1.24	0.87	0.53	0.7
TARBP2	0.19	0.21	0.84	1.17
TRIM71	1.04	1.1	0.93	1.06
TRMT1L	2.14	0.61	0.36	0.28
U2AF1	2.23	0.57	0.33	0.26
U2AF2	1.14	0.38	0.36	0.33
YBX1	0.63	1.26	2.03	2.01
YBX3	1.03	1.31	1.63	1.27
YTHDF1	1	2.27	1.82	2.28
YTHDF2	1.16	1.99	1.43	1.71
YTHDF3	0.47	1.26	1.79	2.66
