peak	ires_up_down	ires_region	overlap	overlap_length
chr19:8381382-8381406;-	chr19:8376447-8386259;-	chr19:8381495-8386280;-	chr19:8381382-8381406;-	25
chr19:39422997-39423058;+	chr19:39421611-39423071;+	chr19:39421761-39421934;+	chr19:39422997-39423058;+	62
chr6:33385406-33385467;-	chr6:33385297-33385884;-	chr6:33385446-33385761;-	chr6:33385406-33385467;-	62
chr4:140216244-140216292;-	chr4:140216220-140223705;-	chr4:140216953-140223581;-	chr4:140216244-140216292;-	49
chr5:149829263-149829300;-	chr5:149827148-149829302;-	chr5:149827297-149829226;-	chr5:149829263-149829300;-	38
chr17:49237384-49237433;+	chr17:49230919-49237405;+	chr17:49230897-49233058;+	chr17:49237384-49237405;+	22
chr14:78182155-78182200;+	chr14:78174413-78183838;+	chr14:78174414-78177216;+	chr14:78182155-78182200;+	46
chr21:33036111-33036168;+	chr21:33031934-33038765;+	chr21:33031935-33032108;+	chr21:33036111-33036168;+	58
chr10:105152011-105152040;-	chr10:105151980-105156192;-	chr10:105152215-105155667;-	chr10:105152011-105152040;-	30
chr6:30029695-30029789;+	chr6:30029041-30029696;+	chr6:30029128-30029301;+	chr6:30029695-30029696;+	2
chr3:52029468-52029481;-	chr3:52028017-52029911;-	chr3:52029080-52029958;-	chr3:52029468-52029481;-	14
chr15:44092813-44092892;+	chr15:44092618-44092969;+	chr15:44092619-44092820;+	chr15:44092813-44092892;+	80
